Epoch,Train Loss,Validation Accuracy,Precision,Recall,F1 Score,Learning Rate
1,0.6162157728247446,0.8843537414965986,0.9023903139237347,0.8843537414965986,0.8786744355903171,1e-05
2,0.25594760559193075,0.9183673469387755,0.9214937038645247,0.9183673469387755,0.9168667466986795,1e-05
3,0.11708327097027268,0.9387755102040817,0.9398695560698508,0.9387755102040817,0.9381276320051831,1e-05
4,0.10476201930887079,0.9047619047619048,0.9123204837490552,0.9047619047619048,0.9058258126054737,1e-05
5,0.0642931294525425,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9591836734693877,1e-05
6,0.06962836947776888,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9591836734693877,1e-05
1,0.704453125391921,0.6258503401360545,0.39168864824841504,0.6258503401360545,0.48182620328466114,2e-05
2,0.39041882590071797,0.9183673469387755,0.918500733626784,0.9183673469387755,0.917695540681146,2e-05
3,0.17098994348963645,0.9251700680272109,0.9275149453720882,0.9251700680272109,0.923998532468444,2e-05
4,0.08675319476895137,0.9387755102040817,0.9398695560698508,0.9387755102040817,0.9381276320051831,2e-05
5,0.11367683847473092,0.9591836734693877,0.9598360981819628,0.9591836734693877,0.9593238394258802,2e-05
6,0.059616497373335985,0.9455782312925171,0.9497874635939012,0.9455782312925171,0.9460684700071427,2e-05
